;COD_ESTACION;NOM_ESTACION;FECHA;HORA;SO2;CO;NO;NO2;NOx;O3;PM10;PM2.5;PM1;NH3;C6H6;C7H8;C8H10;Direc.;H.Rel.;Precip.;Pres.;R.Sol.;Ruido;Temp.;UV-B;Veloc.;Veloc.max.;As;BaA;BaP;BbFA;BjFA;BkFA;Cd;DahA;FA;HMN;H2S;IcdP;Ni;Pb;PST
0;3065006;ELX - AGROALIMENTARI;2023-01-01;0;4;0,1;1;14;14;30;;;;;;;;333;63;0;1018;0;;13,1;;0,1;;;;;;;;;;;;;;;;
1;3065006;ELX - AGROALIMENTARI;2023-01-01;1;4;0,1;1;18;18;29;;;;;;;;328;62;0;1018;0;;12,9;;0,1;;;;;;;;;;;;;;;;
2;3065006;ELX - AGROALIMENTARI;2023-01-01;2;4;0,1;1;11;11;33;;;;;;;;311;62;0;1017;0;;12,7;;0,2;;;;;;;;;;;;;;;;
3;3065006;ELX - AGROALIMENTARI;2023-01-01;3;4;0,1;1;10;10;32;;;;;;;;294;67;0;1017;0;;11,5;;0,4;;;;;;;;;;;;;;;;
4;3065006;ELX - AGROALIMENTARI;2023-01-01;4;4;0,1;1;7;7;36;;;;;;;;307;64;0;1017;0;;12;;0,1;;;;;;;;;;;;;;;;
5;3065006;ELX - AGROALIMENTARI;2023-01-01;5;4;0,1;1;6;6;37;;;;;;;;290;63;0;1017;0;;11,8;;0,2;;;;;;;;;;;;;;;;
6;3065006;ELX - AGROALIMENTARI;2023-01-01;6;4;0,1;1;7;7;29;;;;;;;;257;74;0;1017;0;;9,5;;0,4;;;;;;;;;;;;;;;;
7;3065006;ELX - AGROALIMENTARI;2023-01-01;7;4;0,1;1;8;8;25;;;;;;;;292;81;0;1017;0;;9,1;;0,6;;;;;;;;;;;;;;;;
8;3065006;ELX - AGROALIMENTARI;2023-01-01;8;4;0,1;1;10;10;26;;;;;;;;278;74;0;1017;17;;10,2;;0,3;;;;;;;;;;;;;;;;
9;3065006;ELX - AGROALIMENTARI;2023-01-01;9;4;0,1;1;11;11;28;;;;;;;;259;75;0;1017;81;;10,7;;0,4;;;;;;;;;;;;;;;;
10;3065006;ELX - AGROALIMENTARI;2023-01-01;10;3;0,1;1;6;6;29;;;;;;;;265;78;0;1017;151;;10,7;;0,3;;;;;;;;;;;;;;;;
11;3065006;ELX - AGROALIMENTARI;2023-01-01;11;3;0,1;1;9;9;28;;;;;;;;231;73;0;1017;211;;12,9;;0,2;;;;;;;;;;;;;;;;
12;3065006;ELX - AGROALIMENTARI;2023-01-01;12;3;0,1;1;6;6;38;;;;;;;;243;70;0;1017;352;;14,3;;0,3;;;;;;;;;;;;;;;;
13;3065006;ELX - AGROALIMENTARI;2023-01-01;13;3;0,1;1;6;6;43;;;;;;;;213;59;0;1017;445;;17,9;;0,2;;;;;;;;;;;;;;;;
14;3065006;ELX - AGROALIMENTARI;2023-01-01;14;3;0,1;1;3;4;52;;;;;;;;204;43;0;1017;425;;20,2;;0,2;;;;;;;;;;;;;;;;
15;3065006;ELX - AGROALIMENTARI;2023-01-01;15;3;0,1;1;2;3;52;;;;;;;;225;30;0;1016;307;;21,2;;0,1;;;;;;;;;;;;;;;;
16;3065006;ELX - AGROALIMENTARI;2023-01-01;16;3;0,2;1;2;3;48;;;;;;;;184;31;0;1016;125;;20,4;;0,1;;;;;;;;;;;;;;;;
17;3065006;ELX - AGROALIMENTARI;2023-01-01;17;3;0,2;1;4;5;48;;;;;;;;132;56;0;1016;33;;16,8;;0,4;;;;;;;;;;;;;;;;
18;3065006;ELX - AGROALIMENTARI;2023-01-01;18;3;0,1;1;15;16;38;;;;;;;;53;79;0;1016;0;;14,5;;0,1;;;;;;;;;;;;;;;;
19;3065006;ELX - AGROALIMENTARI;2023-01-01;19;3;0,1;2;30;33;29;;;;;;;;336;86;0;1016;0;;13,7;;0,1;;;;;;;;;;;;;;;;
20;3065006;ELX - AGROALIMENTARI;2023-01-01;20;3;0,1;2;44;46;17;;;;;;;;349;88;0;1016;0;;12,6;;0,8;;;;;;;;;;;;;;;;
21;3065006;ELX - AGROALIMENTARI;2023-01-01;21;3;0,1;3;32;35;22;;;;;;;;343;77;0;1016;0;;12,1;;0,9;;;;;;;;;;;;;;;;
22;3065006;ELX - AGROALIMENTARI;2023-01-01;22;3;0,1;1;24;24;28;;;;;;;;337;68;0;1016;0;;12,1;;0,7;;;;;;;;;;;;;;;;
23;3065006;ELX - AGROALIMENTARI;2023-01-01;23;3;0,1;1;17;17;35;;;;;;;;337;65;0;1016;0;;11,9;;0,7;;;;;;;;;;;;;;;;
24;3065006;ELX - AGROALIMENTARI;2023-01-02;0;3;0,1;1;13;14;37;;;;;;;;328;62;0;1016;0;;11,8;;0,2;;;;;;;;;;;;;;;;
25;3065006;ELX - AGROALIMENTARI;2023-01-02;1;3;0,1;1;11;11;34;;;;;;;;300;63;0;1016;0;;11;;0,1;;;;;;;;;;;;;;;;
26;3065006;ELX - AGROALIMENTARI;2023-01-02;2;3;0,1;1;8;8;37;;;;;;;;323;66;0;1016;0;;10,4;;0,1;;;;;;;;;;;;;;;;
27;3065006;ELX - AGROALIMENTARI;2023-01-02;3;3;0,1;1;6;6;45;;;;;;;;312;56;0;1016;0;;11,8;;0,1;;;;;;;;;;;;;;;;
28;3065006;ELX - AGROALIMENTARI;2023-01-02;4;3;0,1;1;4;4;47;;;;;;;;319;52;0;1016;0;;12,1;;0,5;;;;;;;;;;;;;;;;
