;COD_ESTACION;NOM_ESTACION;FECHA;HORA;SO2;CO;NO;NO2;NOx;O3;PM10;PM2.5;PM1;NH3;C6H6;C7H8;C8H10;Direc.;H.Rel.;Precip.;Pres.;R.Sol.;Ruido;Temp.;UV-B;Veloc.;Veloc.max.;As;BaA;BaP;BbFA;BjFA;BkFA;Cd;DahA;FA;HMN;H2S;IcdP;Ni;Pb;PST
744;3099002;ORIHUELA;2023-01-01;0;3;;4;27;34;2;;;;;;;;227;99;0;1021;0;;6,8;;0,5;;;;;;;;;;;;;;;;
745;3099002;ORIHUELA;2023-01-01;1;3;;3;25;29;5;;;;;;;;243;99;0;1021;0;;7;;0,6;;;;;;;;;;;;;;;;
746;3099002;ORIHUELA;2023-01-01;2;3;;3;28;32;3;;;;;;;;231;99;0;1020;0;;6,6;;0,4;;;;;;;;;;;;;;;;
747;3099002;ORIHUELA;2023-01-01;3;3;;4;26;32;3;;;;;;;;236;99;0;1020;0;;6,2;;0,6;;;;;;;;;;;;;;;;
748;3099002;ORIHUELA;2023-01-01;4;3;;3;22;27;5;;;;;;;;236;99;0;1020;0;;6;;0,8;;;;;;;;;;;;;;;;
749;3099002;ORIHUELA;2023-01-01;5;3;;3;19;23;6;;;;;;;;249;98;0;1020;0;;6,1;;0,9;;;;;;;;;;;;;;;;
750;3099002;ORIHUELA;2023-01-01;6;3;;3;16;20;8;;;;;;;;239;96;0;1020;0;;5,9;;0,7;;;;;;;;;;;;;;;;
751;3099002;ORIHUELA;2023-01-01;7;3;;3;14;18;10;;;;;;;;245;94;0;1020;0;;5,9;;0,6;;;;;;;;;;;;;;;;
752;3099002;ORIHUELA;2023-01-01;8;3;;2;12;16;12;;;;;;;;243;93;0;1020;0;;6;;0,5;;;;;;;;;;;;;;;;
753;3099002;ORIHUELA;2023-01-01;9;3;;3;10;14;14;;;;;;;;245;89;0;1021;40;;6,9;;0,9;;;;;;;;;;;;;;;;
754;3099002;ORIHUELA;2023-01-01;10;3;;4;11;17;19;;;;;;;;261;82;0;1021;128;;8,5;;1,4;;;;;;;;;;;;;;;;
755;3099002;ORIHUELA;2023-01-01;11;3;;4;11;17;24;;;;;;;;258;72;0;1021;189;;10,4;;1,1;;;;;;;;;;;;;;;;
756;3099002;ORIHUELA;2023-01-01;12;3;;4;11;17;32;;;;;;;;253;62;0;1020;431;;13,2;;1,9;;;;;;;;;;;;;;;;
757;3099002;ORIHUELA;2023-01-01;13;3;;4;9;15;43;;;;;;;;256;50;0;1019;526;;17,3;;0,9;;;;;;;;;;;;;;;;
758;3099002;ORIHUELA;2023-01-01;14;3;;4;8;14;53;;;;;;;;307;43;0;1018;481;;20,5;;0,3;;;;;;;;;;;;;;;;
759;3099002;ORIHUELA;2023-01-01;15;3;;5;10;16;59;;;;;;;;32;42;0;1017;350;;19,8;;0,5;;;;;;;;;;;;;;;;
760;3099002;ORIHUELA;2023-01-01;16;3;;4;12;18;55;;;;;;;;67;47;0;1017;146;;18,3;;0,2;;;;;;;;;;;;;;;;
761;3099002;ORIHUELA;2023-01-01;17;3;;4;14;19;47;;;;;;;;139;61;0;1017;35;;14,9;;0,3;;;;;;;;;;;;;;;;
762;3099002;ORIHUELA;2023-01-01;18;3;;4;13;19;40;;;;;;;;161;81;0;1017;0;;12,1;;0,4;;;;;;;;;;;;;;;;
763;3099002;ORIHUELA;2023-01-01;19;3;;7;25;36;18;;;;;;;;360;93;0;1018;0;;10,1;;0,3;;;;;;;;;;;;;;;;
764;3099002;ORIHUELA;2023-01-01;20;3;;4;29;35;6;;;;;;;;48;98;0;1018;0;;8,5;;0,3;;;;;;;;;;;;;;;;
765;3099002;ORIHUELA;2023-01-01;21;3;;4;20;26;5;;;;;;;;167;99;0;1018;0;;7,1;;0,3;;;;;;;;;;;;;;;;
766;3099002;ORIHUELA;2023-01-01;22;3;;4;15;21;3;;;;;;;;226;99;0;1018;0;;6,1;;0,4;;;;;;;;;;;;;;;;
767;3099002;ORIHUELA;2023-01-01;23;3;;3;12;16;3;;;;;;;;196;99;0;1018;0;;5,3;;0,2;;;;;;;;;;;;;;;;
768;3099002;ORIHUELA;2023-01-02;0;3;;3;11;16;3;;;;;;;;223;99;0;1018;0;;5,5;;0,3;;;;;;;;;;;;;;;;
769;3099002;ORIHUELA;2023-01-02;1;3;0,1;3;12;16;6;;;;;;;;251;99;0;1018;0;;6,6;;0,3;;;;;;;;;;;;;;;;
770;3099002;ORIHUELA;2023-01-02;2;3;0,1;3;16;20;6;;;;;;;;248;99;0;1018;0;;6,1;;0,3;;;;;;;;;;;;;;;;
771;3099002;ORIHUELA;2023-01-02;3;3;0,1;3;23;28;3;;;;;;;;230;99;0;1018;0;;5,7;;0,3;;;;;;;;;;;;;;;;
